★更新日期★,#genre#
2024-12-30-22:04,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8


CCTV-1 综合,http://113.57.111.4:1111/tsfile/live/1000_1.m3u8$RSV
CCTV-2 财经,http://113.57.111.4:1111/tsfile/live/1001_1.m3u8$RSV
CCTV-3 综艺,http://113.57.111.4:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$RSV
CCTV-3 综艺,http://113.57.111.4:1111/tsfile/live/1002_1.m3u8$RSV
CCTV-4 中文国际,http://113.57.111.4:1111/tsfile/live/1003_1.m3u8$RSV
CCTV-5 体育,http://113.57.111.4:1111/tsfile/live/1004_1.m3u8$RSV
CCTV-5 体育,http://113.57.111.4:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$RSV
CCTV-6 电影,http://113.57.111.4:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$RSV
CCTV-6 电影,http://113.57.111.4:1111/tsfile/live/1005_1.m3u8$RSV
CCTV-7 国防军事,http://113.57.111.4:1111/tsfile/live/1006_1.m3u8$RSV
CCTV-8 电视剧,http://113.57.111.4:1111/tsfile/live/1007_1.m3u8$RSV
CCTV-10 科教,http://113.57.111.4:1111/tsfile/live/1009_1.m3u8$RSV
CCTV-11 戏曲,http://113.57.111.4:1111/tsfile/live/1010_1.m3u8$RSV
CCTV-12 社会与法,http://113.57.111.4:1111/tsfile/live/1011_1.m3u8$RSV
CCTV-13 新闻,http://113.57.111.4:1111/tsfile/live/1012_1.m3u8$RSV
CCTV-14 少儿,http://113.57.111.4:1111/tsfile/live/1013_1.m3u8$RSV
CCTV-15 音乐,http://113.57.111.4:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$RSV
CCTV-15 音乐,http://113.57.111.4:1111/tsfile/live/0015_1.m3u8$RSV
CCTV-17 农业农村,http://113.57.111.4:1111/tsfile/live/1014_1.m3u8$RSV
CCTV-风云足球,http://113.57.111.4:1111/tsfile/live/1033_1.m3u8$RSV
北京卫视,http://113.57.111.4:1111/tsfile/live/1017_1.m3u8$RSV
东方卫视,http://113.57.111.4:1111/tsfile/live/1018_1.m3u8$RSV
天津卫视,http://113.57.111.4:1111/tsfile/live/1024_1.m3u8$RSV
重庆卫视,http://113.57.111.4:1111/tsfile/live/1030_1.m3u8$RSV
辽宁卫视,http://113.57.111.4:1111/tsfile/live/1026_1.m3u8$RSV
河南卫视,http://113.57.111.4:1111/tsfile/live/1025_1.m3u8$RSV
湖北卫视,http://113.57.111.4:1111/tsfile/live/1015_1.m3u8$RSV
湖南卫视,http://113.57.111.4:1111/tsfile/live/1016_1.m3u8$RSV
江苏卫视,http://113.57.111.4:1111/tsfile/live/1019_1.m3u8$RSV
江西卫视,http://113.57.111.4:1111/tsfile/live/1028_1.m3u8$RSV
广东卫视,http://113.57.111.4:1111/tsfile/live/1022_1.m3u8$RSV
广东卫视,http://113.57.111.4:1111/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$RSV
安徽卫视,http://113.57.111.4:1111/tsfile/live/1021_1.m3u8$RSV
浙江卫视,http://113.57.111.4:1111/tsfile/live/1020_1.m3u8$RSV
东南卫视,http://113.57.111.4:1111/tsfile/live/1027_1.m3u8$RSV
海南卫视,http://113.57.111.4:1111/tsfile/live/1031_1.m3u8$RSV
贵州卫视,http://113.57.111.4:1111/tsfile/live/1029_1.m3u8$RSV
四川卫视,http://113.57.111.4:1111/tsfile/live/1032_1.m3u8$RSV
深圳卫视,http://113.57.111.4:1111/tsfile/live/1023_1.m3u8$RSV
深圳卫视,http://113.57.111.4:1111/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$RSV



凤凰资讯,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx$RSV
凤凰中文,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzw$RSV

辽宁卫视,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=058$RSV
辽宁卫视,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=141$RSV
辽宁卫视,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=185$RSV
辽宁都市,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=610$RSV
辽宁都市,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=068$RSV
辽宁北方,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=071$RSV
辽宁生活,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=073$RSV
辽宁体育,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=611$RSV
辽宁影视剧,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=070$RSV
辽宁教育青少,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=075$RSV
辽宁经济,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=076$RSV
辽宁经济,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=480$RSV
辽宁公共,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=077$RSV
辽宁公共,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=481$RSV
北方导视,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=187$RSV
沈阳综合,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p26.php?id=059$RSV
